id,Name,Age,Gender,Qualification_type,Job_Type,Race,GPA,Interviewed
1,Jody Tree,29,M,3,Marketing,White,3.7,TRUE
2,Rowan Adan,59,M,2,Marketing,Latino,1,FALSE
3,Caryl MacCall,56,M,1,Training,Other,4,FALSE
4,Gordy Wornham,51,M,2,Business Development,Black,3,FALSE
5,Abraham Feldfisher,46,M,1,Support,Latino,1,TRUE
6,Padraig Custard,36,,1,Accounting,Black,3.7,FALSE
7,Winnie Hove,57,F,4,Research and Development,Black,3,TRUE
8,,56,M,4,Marketing,Asian,0.7,FALSE
9,Ashbey Le Merchant,54,M,4,Engineering,Asian,0.7,FALSE
10,Arley Farragher,44,M,1,Accounting,Asian,0.7,FALSE
11,Elna Ferrone,39,F,2,Support,Latino,3.3,FALSE
12,Thom Di Claudio,34,M,2,Support,Latino,3.7,FALSE
13,Alair Guerreiro,31,M,1,Product Management,Black,1.3,TRUE
14,Arley Hemms,33,M,1,Engineering,Asian,3.7,TRUE
15,Lark Livingstone,29,F,5,Support,,2.3,FALSE
16,Osbert Mortell,35,M,3,Human Resources,White,1.3,TRUE
17,Candie Reeveley,47,F,1,Business Development,Other,2.3,TRUE
18,Griz Ambrose,55,M,2,Product Management,Other,2.3,FALSE
19,Gretel Seymer,31,,4,Support,Asian,2.7,FALSE
20,Gisela Philippault,27,,1,Support,Other,2,TRUE
21,Sybille MacCambridge,37,F,3,Services,Asian,1.7,FALSE
22,Dixie Greville,52,F,2,Business Development,Latino,0,FALSE
23,Abbie Charsley,43,M,1,Services,Black,2,TRUE
24,Conrad Coppock.,51,M,4,Legal,Asian,2.7,TRUE
25,Teriann Fraine,28,F,1,Engineering,Asian,1.7,FALSE
26,Louise Brewis,40,X,5,Engineering,Black,2.7,FALSE
27,Jacki Letessier,52,F,5,Sales,Asian,1.3,FALSE
28,Datha Vondrys,37,F,3,Legal,Black,4,FALSE
29,Melessa Bothram,57,F,5,Services,White,2.7,TRUE
30,Merilee Kemetz,29,,3,Business Development,Latino,1,FALSE
31,Lindie Pymm,27,F,2,Support,Latino,1,TRUE
32,Caren Berard,32,F,4,Services,White,2.7,FALSE
33,Caron Lindenboim,60,F,5,Marketing,White,4,TRUE
34,Boony Carlan,25,M,5,Services,Asian,2.3,FALSE
35,Calv Dalliwater,57,M,5,Product Management,Other,1.7,TRUE
36,Erik Bowles,24,M,1,Accounting,White,0,TRUE
37,Ferrell Melin,60,M,5,Business Development,White,1.7,TRUE
38,Fletch Crebo,59,M,2,Sales,,3,FALSE
39,Austina Gribbell,42,F,2,Accounting,Black,3,FALSE
40,Benita Scanterbury,39,F,4,Engineering,Asian,3.3,FALSE
41,Marlane Kelner,31,F,3,Sales,Latino,3.3,TRUE
42,Rose Stigger,40,F,3,Human Resources,Other,1.3,TRUE
43,Paolo Petrollo,43,M,3,Sales,Other,3.7,TRUE
44,Zared Batman,48,,4,Marketing,Black,1,FALSE
45,Hildegaard Patis,48,F,2,Engineering,Other,1,TRUE
46,Rock Older,43,M,1,Training,Other,1.3,TRUE
47,Allyn Witcombe,30,F,3,Business Development,White,2.3,FALSE
48,Daryle Naseby,24,M,3,Services,Other,1.3,FALSE
49,Salomo Camosso,46,M,1,Accounting,Latino,2,TRUE
50,Morgana Morena,29,F,1,Support,Other,0,TRUE
51,Brittany Stannis,30,F,4,Sales,Latino,4,TRUE
52,Rad Boreham,31,M,5,Services,White,1.3,FALSE
53,Alain Vannah,58,M,2,Services,,0,TRUE
54,Dotty Geck,48,F,1,Research and Development,,2.3,FALSE
55,Isaak Coslitt,21,M,4,Support,,3,FALSE
56,Judon Bastide,47,M,2,Marketing,White,1,TRUE
57,Enrico Beavors,60,M,3,Engineering,Asian,3,TRUE
58,Cecil Syrad,34,F,1,Human Resources,Latino,1.3,FALSE
59,Jennica Daouze,43,F,2,Human Resources,White,3.7,TRUE
60,Lesley Wolfendale,47,F,4,Training,Other,1.7,TRUE
61,Elvira Rouge,36,F,3,Training,White,0.7,TRUE
62,Fabiano Blazej,54,M,3,Support,White,2,FALSE
63,Alejandrina Rawlence,32,F,2,Training,Latino,3.7,TRUE
64,Galvan Wagenen,22,M,2,Training,Other,0.7,TRUE
65,Dena Muzzlewhite,36,F,1,Accounting,Black,1,FALSE
66,Gweneth Pierucci,27,F,5,Accounting,Asian,0.7,FALSE
67,Nikolaus Jolland,45,M,2,Support,White,0,TRUE
68,Boniface Grose,43,M,3,Legal,Asian,3.3,TRUE
69,Meaghan Rowbrey,39,F,1,Research and Development,White,0,FALSE
70,Case Portwain,47,M,2,Sales,Asian,2.7,FALSE
71,Mahmoud Treadwell,27,M,1,Support,Other,0.7,FALSE
72,Shelden Wilmot,35,M,4,Legal,White,1.3,TRUE
